,dire_losses,dire_win,duration,gold_advantage,kills,matches,radiant_losses,radiant_wins,team,unique_heroes_banned_against,unique_heroes_played,xp_advantage,team_id,wins,losses,name,patch_wins,patch_win_rate,win_rate
45,35.0,40.0,2239.9930555555557,4109.236111111111,6.659722222222222,144.0,24.0,45.0,6187657.0,75.0,93.0,6147.986111111111,6187657,456,321,Neon Esports,85.0,0.5902777777777778,0.5868725868725869
46,30.0,28.0,2339.7179487179487,-3476.128205128205,-3.769230769230769,78.0,14.0,6.0,7404529.0,70.0,90.0,-4433.74358974359,7404529,94,118,Reality Rift,34.0,0.4358974358974359,0.44339622641509435
47,16.0,28.0,2092.9868421052633,6293.171052631579,4.697368421052632,76.0,9.0,23.0,3586078.0,69.0,82.0,8180.486842105263,3586078,285,228,Geek Fam,51.0,0.6710526315789473,0.5555555555555556
48,26.0,18.0,2154.6324786324785,-3817.102564102564,-5.273504273504273,117.0,46.0,27.0,6738815.0,81.0,97.0,-5939.555555555556,6738815,129,173,Cignal Ultra,45.0,0.38461538461538464,0.4271523178807947
50,21.0,15.0,2101.9139784946237,-6200.602150537635,-4.655913978494624,93.0,35.0,22.0,7408845.0,72.0,91.0,-6747.709677419355,7408845,91,84,Execration,37.0,0.3978494623655914,0.52
52,12.0,12.0,2281.813559322034,82.91525423728814,-0.5084745762711864,59.0,17.0,18.0,2108395.0,68.0,86.0,749.1864406779661,2108395,515,365,TNC Predator,30.0,0.5084745762711864,0.5852272727272727
53,14.0,15.0,2240.0298507462685,-446.3134328358209,2.716417910447761,67.0,16.0,22.0,7453020.0,67.0,80.0,181.70149253731344,7453020,106,126,Aster.Aries,37.0,0.5522388059701493,0.45689655172413796
56,27.0,21.0,2203.090909090909,-1590.8831168831168,-3.5454545454545454,77.0,17.0,12.0,4817649.0,77.0,93.0,-4218.272727272727,4817649,120,131,496 Gaming,33.0,0.42857142857142855,0.47808764940239046
60,16.0,8.0,2047.3695652173913,-7186.391304347826,-3.239130434782609,46.0,13.0,9.0,7118032.0,60.0,74.0,-5261.565217391304,7118032,88,115,Winstrike Team,17.0,0.3695652173913043,0.43349753694581283
61,18.0,9.0,1984.5,-2234.2884615384614,-1.9615384615384615,52.0,12.0,13.0,7849410.0,61.0,76.0,-2828.019230769231,7849410,34,38,FlyToMoon 2.0,22.0,0.4230769230769231,0.4722222222222222
62,9.0,6.0,1992.7254901960785,-816.7254901960785,2.9215686274509802,51.0,19.0,17.0,7453744.0,61.0,74.0,-2274.529411764706,7453744,84,84,KHAN,23.0,0.45098039215686275,0.5
63,14.0,6.0,2127.714285714286,-3403.457142857143,-1.7428571428571429,35.0,8.0,7.0,7669103.0,53.0,63.0,-3547.6,7669103,72,101,Cyber Legacy,13.0,0.37142857142857144,0.4161849710982659
64,32.0,42.0,2089.0421052631577,2955.2736842105264,1.5263157894736843,95.0,8.0,13.0,6409189.0,74.0,75.0,965.3052631578947,6409189,167,132,Team Empire Hope,55.0,0.5789473684210527,0.5585284280936454
65,4.0,11.0,2265.2820512820513,11490.76923076923,12.666666666666666,39.0,6.0,18.0,7390454.0,52.0,64.0,16346.589743589744,7390454,63,27,Quincy Crew,29.0,0.7435897435897436,0.7
66,13.0,12.0,2265.2179487179487,4441.025641025641,3.41025641025641,78.0,22.0,31.0,7748744.0,73.0,79.0,3446.3076923076924,7748744,85,65,CR4ZY,43.0,0.5512820512820513,0.5666666666666667
67,13.0,10.0,2096.7368421052633,-711.9649122807018,-2.1052631578947367,57.0,13.0,21.0,7819028.0,62.0,79.0,-237.0,7819028,61,38,4 Zoomers,31.0,0.543859649122807,0.6161616161616161
69,10.0,10.0,2187.5555555555557,-4123.888888888889,-8.28888888888889,45.0,15.0,10.0,7441136.0,65.0,76.0,-4460.444444444444,7441136,106,87,beastcoast,20.0,0.4444444444444444,0.5492227979274611
71,10.0,19.0,2047.7540983606557,2578.901639344262,5.508196721311475,61.0,15.0,17.0,6382242.0,63.0,83.0,3645.1639344262294,6382242,145,72,Thunder Predator,36.0,0.5901639344262295,0.6682027649769585
72,10.0,11.0,2287.948717948718,3800.769230769231,3.230769230769231,39.0,8.0,10.0,39.0,50.0,67.0,4040.641025641026,39,1119,679,Evil Geniuses,21.0,0.5384615384615384,0.6223581757508343
73,12.0,16.0,2263.3333333333335,152.44444444444446,5.638888888888889,36.0,4.0,4.0,7681441.0,55.0,63.0,-277.3888888888889,7681441,54,55,business associates,20.0,0.5555555555555556,0.4954128440366973
75,12.0,9.0,2137.6666666666665,1732.357142857143,-0.047619047619047616,42.0,6.0,15.0,5014799.0,53.0,82.0,2221.6666666666665,5014799,151,150,Nemiga Gaming,24.0,0.5714285714285714,0.5016611295681063
76,16.0,23.0,2027.8181818181818,4051.896103896104,5.779220779220779,77.0,17.0,21.0,7848119.0,69.0,79.0,8153.987012987013,7848119,63,43,NOVA,44.0,0.5714285714285714,0.5943396226415094
79,23.0,17.0,2090.6111111111113,-2241.222222222222,-0.7407407407407407,54.0,5.0,9.0,6740284.0,64.0,76.0,-2787.4814814814813,6740284,31,35,TEAM HEROIC,26.0,0.48148148148148145,0.4696969696969697
82,13.0,11.0,2051.7608695652175,-3878.413043478261,-0.41304347826086957,46.0,13.0,9.0,7486089.0,61.0,73.0,-4858.108695652174,7486089,65,66,Cyberium,20.0,0.43478260869565216,0.4961832061068702
88,8.0,15.0,2105.4117647058824,5623.35294117647,6.5588235294117645,34.0,5.0,6.0,2672298.0,54.0,69.0,6065.970588235294,2672298,344,306,Infamous Gaming,21.0,0.6176470588235294,0.5292307692307693
97,21.0,29.0,2134.9622641509436,2186.1792452830186,2.1320754716981134,106.0,27.0,29.0,7484403.0,76.0,94.0,3035.7924528301887,7484403,120,121,Ocean,58.0,0.5471698113207547,0.4979253112033195
99,3.0,5.0,2450.3846153846152,3168.358974358974,5.205128205128205,39.0,15.0,16.0,7204148.0,53.0,70.0,6442.128205128205,7204148,33,20,Flash Point Gaming,21.0,0.5384615384615384,0.6226415094339622
100,16.0,11.0,2222.45,-1899.7666666666667,-0.4666666666666667,60.0,15.0,18.0,7406964.0,68.0,88.0,-1588.7333333333333,7406964,70,101,The New Top,29.0,0.48333333333333334,0.4093567251461988
109,13.0,6.0,2016.2571428571428,-3992.2285714285713,-8.571428571428571,35.0,11.0,5.0,7314682.0,57.0,67.0,-5684.8,7314682,14,25,Impunity,11.0,0.3142857142857143,0.358974358974359
112,15.0,13.0,1740.6739130434783,775.7608695652174,-6.086956521739131,46.0,12.0,6.0,7099096.0,63.0,80.0,58.23913043478261,7099096,118,153,Typhoon,19.0,0.41304347826086957,0.4354243542435424
115,9.0,8.0,1927.4722222222222,499.69444444444446,0.7777777777777778,36.0,11.0,8.0,7765736.0,66.0,78.0,1588.361111111111,7765736,19,35,Elephant,16.0,0.4444444444444444,0.35185185185185186
116,13.0,4.0,1946.28125,-3246.46875,-5.46875,32.0,11.0,4.0,7912818.0,56.0,67.0,-4961.59375,7912818,8,29,Busy Gaming,8.0,0.25,0.21621621621621623
117,16.0,15.0,2140.7049180327867,-1948.7868852459017,-0.8032786885245902,61.0,15.0,15.0,7819112.0,75.0,83.0,-1655.344262295082,7819112,40,48,GoodFellaz,30.0,0.4918032786885246,0.45454545454545453
133,2.0,12.0,2379.090909090909,6215.666666666667,2.121212121212121,33.0,11.0,8.0,6795631.0,57.0,64.0,7037.939393939394,6795631,40,30,Flower Gaming,20.0,0.6060606060606061,0.5714285714285714
170,5.0,7.0,2302.657142857143,6220.5142857142855,3.7142857142857144,35.0,8.0,15.0,7358634.0,56.0,63.0,5830.971428571429,7358634,27,18,S A D B O Y S . A U,22.0,0.6285714285714286,0.6
213,24.0,16.0,1709.5238095238096,-1909.845238095238,-1.6428571428571428,84.0,28.0,16.0,7423567.0,100.0,99.0,-3787.714285714286,7423567,182,192,Team Honor,32.0,0.38095238095238093,0.48663101604278075
214,21.0,14.0,1718.483870967742,-3255.2903225806454,-3.338709677419355,62.0,19.0,8.0,7850085.0,95.0,94.0,-4221.0161290322585,7850085,66,75,Team Cobra,22.0,0.3548387096774194,0.46808510638297873
215,15.0,16.0,1699.2,898.4153846153846,-0.9384615384615385,65.0,20.0,14.0,7423598.0,93.0,88.0,270.44615384615383,7423598,124,125,Team Brave,30.0,0.46153846153846156,0.4979919678714859
216,10.0,14.0,1637.5652173913043,122.69565217391305,-0.5869565217391305,46.0,12.0,10.0,6634461.0,84.0,83.0,1063.108695652174,6634461,225,251,Team Sincere,24.0,0.5217391304347826,0.4726890756302521
217,13.0,19.0,1525.969696969697,1224.378787878788,2.3333333333333335,66.0,16.0,18.0,7846103.0,91.0,95.0,1765.909090909091,7846103,80,68,Vampire Gamig,37.0,0.5606060606060606,0.5405405405405406
218,21.0,24.0,1653.1555555555556,319.27777777777777,1.5888888888888888,90.0,21.0,24.0,7405690.0,102.0,101.0,1186.8777777777777,7405690,93,76,TEAM Ethereal,48.0,0.5333333333333333,0.5502958579881657
219,10.0,11.0,1363.3333333333333,177.33333333333334,0.7948717948717948,39.0,10.0,8.0,7405034.0,86.0,78.0,-175.56410256410257,7405034,135,161,Revenge Gaming,19.0,0.48717948717948717,0.4560810810810811
220,23.0,24.0,1740.1340206185566,-69.17525773195877,-1.1237113402061856,97.0,25.0,25.0,7253435.0,102.0,96.0,-511.1958762886598,7253435,150,152,Team Galaxy,49.0,0.5051546391752577,0.4966887417218543
221,19.0,19.0,1714.9420289855072,1735.3478260869565,1.8985507246376812,69.0,9.0,22.0,7610494.0,102.0,91.0,2571.072463768116,7610494,87,72,Team Destiny,41.0,0.5942028985507246,0.5471698113207547
222,17.0,21.0,1748.8481012658228,1206.6455696202531,2.4556962025316458,79.0,16.0,25.0,7612347.0,95.0,88.0,1113.8354430379748,7612347,128,124,Panda Gaming,46.0,0.5822784810126582,0.5079365079365079
223,15.0,19.0,1906.9285714285713,-532.3285714285714,-0.6428571428571429,70.0,19.0,17.0,7355343.0,96.0,90.0,1571.9285714285713,7355343,189,192,Immortal Gaming,36.0,0.5142857142857142,0.49606299212598426
224,8.0,8.0,1571.483870967742,310.06451612903226,-1.7096774193548387,31.0,7.0,8.0,7639670.0,79.0,67.0,-636.1935483870968,7639670,79,71,Team Meteor,16.0,0.5161290322580645,0.5266666666666666
232,28.0,21.0,1505.4526315789474,501.5473684210526,0.5894736842105263,95.0,19.0,27.0,7358551.0,91.0,94.0,389.0210526315789,7358551,134,129,Sunrise,48.0,0.5052631578947369,0.5095057034220533
233,22.0,18.0,1540.247191011236,-216.7078651685393,-0.30337078651685395,89.0,22.0,27.0,7852001.0,88.0,93.0,88.40449438202248,7852001,68,70,Future.club,45.0,0.5056179775280899,0.4927536231884058
234,22.0,23.0,1463.6741573033707,6.191011235955056,-1.7303370786516854,89.0,24.0,20.0,7852051.0,78.0,91.0,-157.1011235955056,7852051,62,69,TEAM ASPIRATIONS,43.0,0.48314606741573035,0.4732824427480916
235,30.0,23.0,1548.2448979591836,-610.0714285714286,-1.683673469387755,98.0,25.0,20.0,7217630.0,90.0,103.0,-1453.7755102040817,7217630,203,242,WOLF,43.0,0.4387755102040816,0.45617977528089887
236,23.0,20.0,1454.131868131868,-670.8681318681319,-0.15384615384615385,91.0,30.0,18.0,7467638.0,89.0,94.0,-513.3736263736264,7467638,179,184,Team Rockets,38.0,0.4175824175824176,0.4931129476584022
237,12.0,23.0,1573.3076923076924,-41.256410256410255,0.717948717948718,78.0,20.0,23.0,7868515.0,77.0,95.0,1380.371794871795,7868515,69,54,Team Venture,46.0,0.5897435897435898,0.5609756097560976
238,25.0,23.0,1498.5416666666667,-19.3125,1.5,96.0,23.0,25.0,7314697.0,91.0,92.0,-6.479166666666667,7314697,213,207,FIVE BROTHERS,48.0,0.5,0.5071428571428571
239,23.0,28.0,1443.3917525773195,1035.360824742268,0.6597938144329897,97.0,21.0,25.0,7852100.0,93.0,92.0,1560.9072164948454,7852100,82,74,TEAM LIGHTNING,53.0,0.5463917525773195,0.5256410256410257
241,17.0,15.0,1487.984375,-1223.125,-0.84375,64.0,13.0,19.0,7610605.0,81.0,87.0,-2218.875,7610605,129,125,Hot Pot Brother,34.0,0.53125,0.5078740157480315
